0,1,2,3,4,5,6
1.1,0.08623,0.08623,0.1243,0.1243,0.1243,0.19
1.2,0.08623,0.08623,0.1243,0.1243,0.1243,0.19
1.3,0.08975,0.08975,0.1294,0.1294,0.1294,0.1977
1.4,0.09314,0.09314,0.1343,0.1343,0.1343,0.2052
1.5,0.09641,0.09641,0.139,0.139,0.139,0.2124
1.6,0.09957,0.09957,0.1435,0.1435,0.1435,0.2194
1.7,0.1026,0.1026,0.1479,0.1479,0.1479,0.2261
1.8,0.1056,0.1056,0.1522,0.1522,0.1522,0.2327
2.0,0.1113,0.1113,0.1605,0.1605,0.1605,0.2453
2.25,0.1181,0.1181,0.1702,0.1702,0.1702,0.2601
2.49999,0.1245,0.1245,0.1794,0.1794,0.1794,0.2742
2.74999,0.1305,0.1305,0.1882,0.1882,0.1882,0.2876
2.99999,0.1363,0.1363,0.1965,0.1965,0.1965,0.3004
3.24999,0.1419,0.1419,0.2045,0.2045,0.2045,0.3126
3.49999,0.1473,0.1473,0.2123,0.2123,0.2123,0.3244
3.74999,0.1524,0.1524,0.2197,0.2197,0.2197,0.3358
3.99999,0.1574,0.1574,0.2269,0.2269,0.2269,0.3469
4.49999,0.167,0.167,0.2407,0.2407,0.2407,0.3679
4.99999,0.176,0.176,0.2537,0.2537,0.2537,0.3878
5.49999,0.1846,0.1846,0.2661,0.2661,0.2661,0.4067
5.99999,0.1928,0.1928,0.2779,0.2779,0.2779,0.4248
6.49999,0.2007,0.2007,0.2893,0.2893,0.2893,0.4422
6.99999,0.2083,0.2083,0.3002,0.3002,0.3002,0.4588
7.99999,0.2226,0.2226,0.3209,0.3209,0.3209,0.4905
8.99999,0.2361,0.2361,0.3404,0.3404,0.3404,0.5203
9.99999,0.2489,0.2489,0.3588,0.3588,0.3588,0.5484
10.9999,0.2611,0.2611,0.3763,0.3763,0.3763,0.5752
11.9999,0.2727,0.2727,0.393,0.393,0.393,0.6008
12.9999,0.2838,0.2838,0.4091,0.4091,0.4091,0.6253
13.9999,0.2945,0.2945,0.4245,0.4245,0.4245,0.6489
14.9999,0.3049,0.3049,0.4394,0.4394,0.4394,0.6717
15.9999,0.3149,0.3149,0.4539,0.4539,0.4539,0.6937
16.9999,0.3245,0.3245,0.4678,0.4678,0.4678,0.7151
17.9999,0.334,0.334,0.4814,0.4814,0.4814,0.7358
19.9999,0.352,0.352,0.5074,0.5074,0.5074,0.7756
22.4999,0.3734,0.3734,0.5382,0.5382,0.5382,0.8226
24.9999,0.3936,0.3936,0.5673,0.5673,0.5673,0.8671
27.4999,0.4128,0.4128,0.595,0.595,0.595,0.9095
29.9999,0.4311,0.4311,0.6215,0.6215,0.6215,0.9499
32.4999,0.4487,0.4487,0.6468,0.6468,0.6468,0.9887
34.9999,0.4657,0.4657,0.6713,0.6713,0.6713,1.026
37.4999,0.482,0.482,0.6948,0.6948,0.6948,1.062
39.9999,0.4978,0.4978,0.7176,0.7176,0.7176,1.097
44.9999,0.528,0.528,0.7611,0.7611,0.7611,1.163
49.9999,0.5566,0.5566,0.8023,0.8023,0.8023,1.226
54.9999,0.5838,0.5838,0.8415,0.8415,0.8415,1.286
59.9999,0.6097,0.6097,0.8789,0.8789,0.8789,1.343
64.9999,0.6346,0.6346,0.9148,0.9148,0.9148,1.398
69.9999,0.6586,0.6586,0.9493,0.9493,0.9493,1.451
79.9999,0.704,0.704,1.015,1.015,1.015,1.551
89.9999,0.7468,0.7468,1.076,1.076,1.076,1.645
99.9999,0.7871,0.7871,1.135,1.135,1.135,1.734
110.0,0.8256,0.8256,1.19,1.19,1.19,1.819
120.0,0.8623,0.8623,1.243,1.243,1.243,1.9
130.0,0.8975,0.8975,1.294,1.294,1.294,1.977
139.999,0.9314,0.9314,1.343,1.343,1.343,2.052
149.999,0.9641,0.9641,1.39,1.39,1.39,2.124
159.999,0.9957,0.9957,1.435,1.435,1.435,2.194
169.999,1.026,1.026,1.479,1.479,1.479,2.261
179.999,1.056,1.056,1.522,1.522,1.522,2.327
199.999,1.113,1.113,1.605,1.605,1.605,2.453
224.999,1.181,1.181,1.702,1.702,1.702,2.601
249.999,1.245,1.245,1.794,1.794,1.794,2.742
274.999,1.305,1.305,1.882,1.882,1.882,2.876
299.999,1.363,1.363,1.965,1.965,1.965,3.004
324.999,1.419,1.419,2.045,2.045,2.045,3.126
349.999,1.473,1.473,2.123,2.123,2.123,3.245
374.999,1.524,1.524,2.197,2.197,2.197,3.358
399.999,1.574,1.574,2.269,2.269,2.269,3.469
449.999,1.67,1.67,2.407,2.407,2.407,3.679
499.999,1.76,1.76,2.537,2.537,2.537,3.878
549.999,1.846,1.846,2.661,2.661,2.661,4.067
599.999,1.928,1.928,2.779,2.779,2.779,4.248
649.999,2.007,2.007,2.893,2.893,2.893,4.422
699.999,2.083,2.083,3.002,3.002,3.002,4.588
799.999,2.226,2.226,3.209,3.209,3.209,4.905
899.999,2.361,2.361,3.404,3.404,3.404,5.203
999.999,2.489,2.489,3.588,3.588,3.588,5.484
1100.0,2.611,2.611,3.763,3.763,3.763,92.23
1200.0,2.727,2.727,3.93,3.93,3.93,96.68
1300.0,2.838,2.838,4.091,4.091,4.091,100.9
1400.0,2.945,2.945,4.245,4.245,4.245,105.0
1500.0,3.049,3.049,4.394,4.394,4.394,108.9
1600.0,3.149,3.149,4.539,4.539,4.539,112.7
1700.0,3.245,3.245,4.678,4.678,4.678,116.3
1800.0,3.34,3.34,4.814,4.814,4.814,119.9
2000.0,3.52,3.52,5.074,5.074,5.074,126.6
2250.0,3.734,3.734,5.382,5.382,5.382,134.4
2500.0,3.936,3.936,5.673,5.673,5.673,141.8
2750.0,4.128,4.128,5.95,5.95,5.95,148.7
3000.0,4.311,4.311,6.215,6.215,6.215,155.2
3250.0,4.487,4.487,6.468,6.468,6.468,161.4
3500.0,4.657,4.657,6.713,6.713,6.713,167.3
3750.0,4.82,4.82,6.948,6.948,6.948,173.0
4000.0,4.978,4.978,7.176,7.176,7.176,178.4
4500.0,5.28,5.28,7.611,7.611,7.611,188.5
5000.0,5.566,5.566,8.023,8.023,8.023,198.0
5500.0,5.838,5.838,8.415,8.415,8.415,206.8
6000.0,6.097,6.097,8.789,8.789,8.789,215.0
6500.0,6.346,6.346,9.148,9.148,9.148,222.8
7000.0,6.586,6.586,9.493,9.493,9.493,230.2
8000.0,7.041,7.041,10.15,10.15,10.15,243.9
9000.0,7.468,7.468,10.76,10.76,10.76,256.4
10000.0,7.872,7.872,11.35,11.35,11.35,267.8
11000.0,8.256,8.256,11.9,11.9,11.9,278.5
12000.0,8.623,8.623,12.43,12.43,12.43,288.3
13000.0,8.975,8.975,12.94,12.94,12.94,297.6
14000.0,9.314,9.314,13.43,13.43,13.43,306.3
15000.0,9.641,9.641,13.9,13.9,13.9,314.5
16000.0,9.957,9.957,14.35,14.35,14.35,322.2
17000.0,10.26,10.26,14.79,14.79,14.79,329.5
18000.0,10.56,10.56,15.22,15.22,15.22,336.5
20000.0,11.13,11.13,16.05,16.05,16.05,349.5
22500.0,11.81,11.81,17.02,17.02,17.02,364.3
25000.0,12.45,12.45,17.94,17.94,17.94,377.6
27500.0,13.05,13.05,18.82,18.82,18.82,389.7
30000.0,13.63,13.63,19.65,19.65,19.65,400.9
32500.0,14.19,14.19,20.47,20.47,20.47,411.2
35000.0,14.73,14.73,21.31,21.31,21.31,420.7
37500.0,15.24,15.24,22.1,22.1,22.1,429.6
40000.0,15.74,15.74,22.84,22.84,22.84,437.9
45000.0,16.7,16.7,24.21,24.21,24.21,452.9
50000.0,17.6,17.6,25.47,25.47,25.47,466.3
55000.0,18.46,18.46,26.65,26.65,26.65,478.3
60000.0,19.28,19.28,27.76,27.76,27.76,489.2
65000.0,20.07,20.07,28.82,28.82,28.82,499.0
70000.0,20.83,20.83,29.83,29.83,29.83,508.0
80000.0,22.26,22.26,31.75,31.75,31.75,523.9
90000.0,23.62,23.62,33.55,33.55,33.55,537.4
100000.0,24.89,24.89,35.25,35.25,35.25,549.1
110000.0,26.11,26.11,36.89,36.89,36.89,559.3
120000.0,27.27,27.27,38.46,38.46,38.46,568.3
130000.0,28.38,28.38,39.98,39.98,39.98,576.2
140000.0,29.74,29.74,41.46,41.46,41.46,583.2
150000.0,31.85,31.85,42.91,42.91,42.91,589.4
160000.0,33.59,33.59,44.32,44.32,44.32,595.0
170000.0,35.08,35.08,45.71,45.71,45.71,600.1
180000.0,36.38,36.38,47.07,47.07,47.07,604.6
200000.0,38.64,38.64,49.75,49.75,49.75,612.3
225000.0,41.12,41.12,53.01,53.01,53.01,619.9
250000.0,43.46,43.46,56.2,56.2,56.2,625.8
275000.0,45.76,45.76,59.33,59.33,59.33,630.4
300000.0,48.07,48.07,62.42,62.42,62.42,633.8
325000.0,50.4,50.4,65.48,65.48,65.48,636.3
350000.0,52.75,52.75,68.5,68.5,68.5,638.1
375000.0,55.11,55.11,71.5,71.5,71.5,639.3
