 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> August 16, 2021 
 ==================================================================

 Disk File Name = SRIM Outputs\He_W.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.9300E+01 g/cm3 = 6.3221E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      W     74    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
4.99999 eV    2.427E-01  1.181E-01       2 A         5 A         4 A   
5.49999 eV    2.546E-01  1.249E-01       2 A         5 A         4 A   
5.99999 eV    2.659E-01  1.314E-01       2 A         5 A         4 A   
6.49999 eV    2.768E-01  1.376E-01       2 A         6 A         4 A   
6.99999 eV    2.872E-01  1.437E-01       2 A         6 A         4 A   
7.99999 eV    3.071E-01  1.551E-01       2 A         6 A         4 A   
8.99999 eV    3.257E-01  1.659E-01       2 A         7 A         5 A   
9.99999 eV    3.433E-01  1.761E-01       2 A         7 A         5 A   
10.9999 eV    3.601E-01  1.857E-01       2 A         7 A         5 A   
11.9999 eV    3.761E-01  1.950E-01       3 A         7 A         5 A   
12.9999 eV    3.914E-01  2.038E-01       3 A         8 A         5 A   
13.9999 eV    4.062E-01  2.122E-01       3 A         8 A         6 A   
14.9999 eV    4.205E-01  2.204E-01       3 A         8 A         6 A   
15.9999 eV    4.342E-01  2.283E-01       3 A         9 A         6 A   
16.9999 eV    4.476E-01  2.359E-01       3 A         9 A         6 A   
17.9999 eV    4.606E-01  2.432E-01       3 A         9 A         6 A   
19.9999 eV    4.855E-01  2.573E-01       3 A         9 A         7 A   
22.4999 eV    5.149E-01  2.738E-01       3 A        10 A         7 A   
24.9999 eV    5.428E-01  2.893E-01       4 A        10 A         7 A   
27.4999 eV    5.693E-01  3.039E-01       4 A        11 A         8 A   
