Symbol       H         He       Li        Be         B         C        N        O        F        Ne        Na        Mg
Z-man        1         2        3         4          5         6        7        8        9        10        11        12
  Mass       1.008     4.003    7.016     9.012      11.009    12.00    14.003   15.995   18.998   19.992    22.99     23.985
    Ed       13.0      20.0     20.0      20.0       20.0      20.0     20.0     20.0     20.0     20.0      20.0      20.0
    Es       25.0      25.0     25.0      25.0       25.0      25.0     25.0     25.0     25.0     25.0      25.0      25.0

Symbol       Al        Si       P         S          Cl        Ar       K        Ca       Sc       Ti        V         Cr
Z-man        13        14       15        16         17        18       19       20       21       22        23        24
  Mass       26.982    28.085   30.974    31.972     34.969    39.962   38.964   39.963   44.956   47.95     50.94     51.94
    Ed       13.0      15.0     20.0      20.0       20.0      20.0     20.0     20.0     20.0     20.0      20.0      20.0
    Es       25.0      25.0     25.0      25.0       25.0      25.0     25.0     25.0     25.0     25.0      25.0      25.0

Symbol       Mn        Fe       Co        Ni         Cu        Zn       Ga       Ge       As       Se        Br        Kr
Z-man        25        26       27        28         29        30       31       32       33       34        35        36
  Mass       54.94     55.935   58.93     57.94      62.93     63.93    68.93    73.92    74.92    79.92     78.92     83.912 
    Ed       13.0      20.0     20.0      20.0       20.0      20.0     20.0     20.0     20.0     20.0      20.0      20.0
    Es       25.0      25.0     25.0      25.0       25.0      25.0     25.0     25.0     25.0     25.0      25.0      25.0

Symbol       Rb        Sr       Y         Zr         Nb        Mo       Tc       Ru       Rh       Pd        Ag        Cd
Z-man        37        38       39        40         41        42       43       44       45       46        47        48 
  Mass       84.91     87.91    88.906    89.9       92.91     97.905   97       101.904  102.905  105.903   106.905   113.903
    Ed       13.0      20.0     20.0      20.0       20.0      20.0     20.0     20.0     20.0     20.0      20.0      20.0
    Es       25.0      25.0     25.0      25.0       25.0      25.0     25.0     25.0     25.0     25.0      25.0      25.0

Symbol       In        Sn       Sb        Te         I         Xe       Cs       Ba       La       Ce        Pr        Nd
Z-man        49        50       51        52         53        54       55       56       57       58        59        60
  Mass       114.904   119.902  120.903   129.906    126.904   131.904  132.905  137.905  138.906  139.905   140.907   141.907
    Ed       13.0      20.0     20.0      20.0       20.0      20.0     20.0     20.0     20.0     20.0      20.0      20.0
    Es       25.0      25.0     25.0      25.0       25.0      25.0     25.0     25.0     25.0     25.0      25.0      25.0

Symbol       Pm        Sm       Eu        Gd         Tb        Dy       Ho       Er       Tm       Yb        Lu        Hf
Z-man        61        62       63        64         65        66       67       68       69       70        71        72
  Mass       148.0     151.919  152.921   157.924    158.925   163.929  164.93   165.93   168.934  173.939   174.941   179.947
    Ed       13.0      20.0     20.0      20.0       20.0      20.0     20.0     20.0     20.0     20.0      20.0      20.0
    Es       25.0      25.0     25.0      25.0       25.0      25.0     25.0     25.0     25.0     25.0      25.0      25.0

Symbol       Ta        W        Re        Os         Ir        Pt       Au       Hg       Tl       Pb        Bi        Po
Z-man        73        74       75        76         77        78       79       80       81       82        83        84
  Mass       180.948   183.951  186.956   191.961    192.963   194.965  196.967  201.971  204.974  207.977   208.98    209.983
    Ed       13.0      20.0     20.0      20.0       20.0      20.0     20.0     20.0     20.0     20.0      20.0      20.0
    Es       25.0      25.0     25.0      25.0       25.0      25.0     25.0     25.0     25.0     25.0      25.0      25.0

Symbol       At        Rn       Fr        Ra         Ac        Th       Pa       U         
Z-man        85        86       87        88         89        90       91       92          
  Mass       210.0     222.0    223.0     226.0      227.0     232.038  231.036  238.051   
    Ed       13.0      20.0     20.0      20.0       20.0      20.0     20.0     20.0     
    Es       25.0      25.0     25.0      25.0       25.0      25.0     25.0     25.0     

Symbol       H1	       H2	 He3	    He4        
Z-man        1         1	 2	    2	       
  Mass       1.007     2.014	 3.016	    4.002      	     
    Ed       13.0      13.0	 13.0	    13.0	
    Es       25.0      25.0	 25.0	    25.0	
    
Symbol       C12	C13      N14       N15        O16
Z-man        6	        6        7         7          8
  Mass       12.000 	13.003   14.003    15.000     15.995		     
    Ed       13.0	13.0     13.0      13.0       13.0 
    Es       25.0	25.0     25.0      25.0       25.0 
    
Symbol       GaI	GaII     OI        OII        OIII
Z-man        31	        31       8         8          8
  Mass       68.93 	68.93    15.995    15.995     15.995		     
    Ed       13.0	13.0     13.0      13.0       13.0 
    Es       25.0	25.0     25.0      25.0       25.0 
